id,name,address,coordinate_val,display_phone,genre,price,rating,review_count
uaFHoq-a5XqxF-bsOK9_Qg,Real Kung Fu Little Steamed Buns Ramen,"811 8th Ave,New York, NY 10019","(40.7616286634162, -73.9868181646996)",(917) 388-2555,Chinese,$$,3.5,1008
IhSVn0TaX8xXb3wcQ-fgcA,Vanessa's Dumpling House,"118A Eldridge St,New York, NY 10002","(40.71839, -73.9917399)",(212) 625-8008,Chinese,$,4,2645
x9wa2M7gvf32swUSBP3uXA,Blockheads,"Worldwide Plz,322 W 50th St,New York, NY 10019","(40.7627155294445, -73.9876316100625)",(212) 307-7029,Mexican,$$,3.5,783
ypqK8DWM8Bcs43YveSJnNw,Manhatta,"28 Liberty St,Fl 60,New York, NY 10005","(40.70797, -74.00889)",(212) 230-5788,American,$$$$,4.5,471
6wLRkcuam2J_xSZ403YwLA,The Lambs Club,"132 W 44th St,New York, NY 10036","(40.7565103875392, -73.9845907254059)",(212) 997-5262,American,$$$,3.5,590
pmJqb7-EckluXUk6Rtml6A,Hunan Park,"721 Columbus Ave,New York, NY 10025","(40.79221, -73.96774)",(212) 222-6511,Chinese,$$,3,93
qu3niqEXOUdNxCCXnSPBYg,Xi'an Famous Foods,"313 6th Ave,New York, NY 10014","(40.730996, -74.0018838)",(212) 786-2068,Chinese,$,4,100
PWo2Hs_AOImd4lCmyIBTXg,Kingwuu,"131 Walker St,New York, NY 10013","(40.717301, -73.999781)",,Chinese,,5,1
FXhSEZfIqjMZh4hR0_8jMQ,China Xiang 中国湘,"360 W 42nd Street,New York, NY 10036","(40.7582902125633, -73.9925113993899)",(212) 967-6088,Chinese,$$,4,480
8Gg_SoA5TA7pLNB-xuPhPw,Mexikosher,"100 W 83rd St,New York, NY 10024","(40.78458, -73.97393)",(212) 580-6200,Mexican,$$,3.5,78
D1V7ZadUtUPuYYlpDA1BOQ,Sakura Of Japan,"570 8th Ave,New York, NY 10018","(40.75472, -73.99129)",(212) 398-4646,Japanese,$,3.5,33
dFPLilNrMi9KhhXQTEix5w,1 Up Bistro,"1404 Madison Ave,New York, NY 10029","(40.7881799, -73.95365)",(917) 492-0697,American,,3.5,6
yKPRuBvD3ScCc18QrZ4Y6w,El Porton,"3151 Broadway,New York, NY 10027","(40.81452, -73.95966)",(212) 665-7338,Mexican,$$,3.5,182
pqebqpVTT8bR_s9iEu8dOA,Curry-Ya,"214 E 10th St,New York, NY 10003","(40.72922, -73.98604)",(212) 995-2877,Japanese,$$,4,717
PnMnNmUHDR1IwQOe4Zixbg,Sushi by Boū Union Square,"118 E 15th St,New York, NY 10003","(40.73467, -73.98859)",(917) 268-7268,Japanese,$$$,4,57
pwzLpR9ys1NkE3ppjT88MQ,Pietro Nolita,"174 Elizabeth St,New York, NY 10012","(40.7210205244336, -73.994662)",(646) 998-4999,Italian,$$,3,488
t_IXO90SSJz4pt5GLD2lTA,Playwright Celtic Pub,"732 8th Ave,New York, NY 10036","(40.75933, -73.98793)",(212) 354-8404,American,$$,3,370
l1JScxc5eWUYFmFl6sODgg,Vanessa's Dumpling House,"70 Pine St,City Acres Market,New York, NY 10005","(40.7063538082502, -74.0073757991145)",(917) 261-4531,Chinese,,3,26
xbrQ2dHuQoFJmNxAuOky4A,Vic's,"31 Great Jones St,New York, NY 10012","(40.72693, -73.99319)",(212) 253-5700,Italian,$$,4,473
PqqnNrUtU7XTKQvUM4cyqQ,Bar Verde,"65 2nd Ave,New York, NY 10003","(40.7260849061034, -73.9897361397743)",(212) 777-6965,Mexican,$$,4.5,241
FkA9aoMhWO4XKFMTuTnl4Q,Atla,"372 Lafayette St,New York, NY 10012","(40.7271874, -73.9938924)",(347) 662-3522,Mexican,$$,3.5,292
Pj7vKy-QJBwUokCMji2MZQ,Delight Wong,"300 Grand St,New York, NY 10002","(40.71761, -73.99168)",,Chinese,,3.5,15
NebgteFykeM1gwiVgPcCHw,The Handpulled Noodle,"3600 Broadway,Ste 3,New York, NY 10031","(40.828384, -73.948674)",(917) 262-0213,Chinese,$$,4,725
MJwyoXJrN7UmqWcWQ5rG1w,King Chef,"587 Malcolm X Blvd,New York, NY 10037","(40.8175143, -73.9386375)",(212) 281-6688,Chinese,,3,5
XaEFFUabnbH8ZF7ccmSAlQ,South Of The Clouds,"16 W 8th St,New York, NY 10011","(40.73264, -73.99752)",(212) 888-9653,Chinese,$$,4,213
DpZ7Xaub8Lhpg7VJdHaPpg,Zenkichi New York,"77 N 6th St,Brooklyn, NY 11249","(40.71897, -73.96081)",(718) 388-8985,Japanese,$$$,4,989
jRZ3SuJ--vimE47dna3J7Q,Hannosuke,"595 River Rd,Edgewater, NJ 07020","(40.81627, -73.97983)",(201) 945-1612,Japanese,$$,3.5,124
YCBjn0t4bMaQb8Bk7l37ng,Gan Asia,"691 Amsterdam Ave,New York, NY 10025","(40.7923393, -73.971405)",(212) 280-3800,Chinese,$$,2.5,45
S4Euw4DYSqeU4KcteFXqHg,Little Beet Table,"333 Park Ave S,New York, NY 10010","(40.741086, -73.985333)",(212) 466-3330,American,$$,4,538
dpCSDy9uefOEcY44FHss2Q,Hyo Dong Gak,"51 W 35th St,New York, NY 10001","(40.7501219, -73.9862269)",(212) 695-7167,Chinese,$$,3.5,409
R1eZIyH8dOECfqUGGcANdQ,Red Star Restaurant,"112 E 116th St,New York, NY 10029","(40.7987632751465, -73.9426727294922)",(212) 860-8883,Chinese,$,3,18
9yTwuznxkJo9JZl7KBZ0zw,Hibachi Express,"536 E 14th St,New York, NY 10009","(40.729499, -73.978765)",(917) 261-7701,Japanese,$$,3.5,17
loLFoBWWXfpFu9fOdWebHQ,Yong Sheng,"2825 Frederick Douglass Blvd,New York, NY 10039","(40.82645, -73.93951)",(212) 862-2702,Chinese,$,4,12
0oRYwB_SLqjHptvUQwwe2w,Tajin,"85 Greenwich St,New York, NY 10006","(40.70772, -74.01356)",(212) 509-5017,Mexican,$$,3.5,232
6ujYWjs1FTksvuVxuzjUYA,Almond,"12 E 22nd St,New York, NY 10010","(40.7400817871094, -73.9887542724609)",(212) 228-7557,American,$$,4,1029
Gun7lX-5SYRWzJsNsu-U6g,Sant Ambroeus,"265 Lafayette St,New York, NY 10012","(40.7234184, -73.9965676)",(212) 966-2770,Italian,$$$,3.5,160
SNNDz7nTCL1lf9yEY5DaBA,Margarita Bar NYC,"709 8th Ave,New York, NY 10036","(40.759132, -73.9886919)",(917) 338-0315,Mexican,$$,3.5,38
hcI6TVxFyVNEPXg3rF1bQw,Oaxaca Taqueria,"405 W 44th St,New York, NY 10036","(40.7601356506348, -73.992057800293)",(212) 757-2957,Mexican,$,3.5,117
cn3JXMq29UfRkFCUD0Bhbw,Fried Dumpling,"106 Mosco St,New York, NY 10013","(40.7145984, -73.9993465)",(212) 693-1060,Chinese,$,3.5,520
b_3yI7FXcIle71lD9Tulww,Guajillo,"2277 1st Ave,New York, NY 10035","(40.7967861606349, -73.934840150695)",(646) 912-9971,Mexican,$$,4.5,37
RVoRPCkn5zzny-Vw4NqLbg,Famous Famiglia Pizzeria,"488 8th Ave,New York, NY 10001","(40.75246, -73.99305)",(212) 562-4144,Italian,$,3,118
bO8x1Xvtyj4_gUxtX-sjrA,Taqueria Guadalupe,"1743 Lexington Ave,New York, NY 10029","(40.793716, -73.944923)",(212) 828-6520,Mexican,$$,3,48
agCuWjaUJ8xBO_PDDQRiGw,S Wan Cafe 洋紫荆,"85 Eldridge St Lower E,New York, NY 10002","(40.71725, -73.99254)",(212) 966-8269,Chinese,$,4.5,124
UILT56veNs63NASF3dGRKA,Fieldtrip,"109 Malcolm X Blvd,New York, NY 10026","(40.80165, -73.95029)",(917) 639-3919,American,$$,4.5,108
HKBJGt04_ZSdiIWA_6J8kQ,Tortaria,"94 University Pl,New York, NY 10003","(40.73387, -73.99304)",(212) 776-1830,Mexican,$$,3.5,701
utM-5navObsVA5sCRHobzA,Madre,"214 Franklin St,Brooklyn, NY 11222","(40.73311, -73.95798)",(718) 389-8700,American,$$$,5,57
vDkAtrkji4YatAoKbqF_Yg,Great Wall,"527 Lenox Ave,New York, NY 10037","(40.8149099511421, -73.9397296879857)",(212) 926-8301,Chinese,,3,4
AWeQkgJ0uzNr5YxFr2Bx8g,Pasquale Jones,"187 Mulberry St,New York, NY 10012","(40.7210341671446, -73.9967492344452)",(917) 453-0339,Italian,$$$,3.5,247
uboO7T3XSnl8iq0uQWhMXA,Café Altro Paradiso,"234 Spring St,New York, NY 10013","(40.72549, -74.00489)",(646) 952-0828,Italian,$$$,3.5,150
oJjMYhA6z1_BVaQpSdyl8g,Golden Forest,"353 Grand St,New York, NY 10002","(40.7167, -73.98945)",(212) 505-9513,Chinese,$,4,170
